tripduration,starttime,stoptime,start Station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
754,21/09/2015 17:40,21/09/2015 17:53,3186,Grove St PATH,40.71958612,-74.04311746,3205,JC Medical Center,40.71653978,-74.04963791,24478,Subscriber,1985,1
314,21/09/2015 17:41,21/09/2015 17:47,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24420,Subscriber,1988,1
80,21/09/2015 17:46,21/09/2015 17:47,3184,Paulus Hook,40.7141454,-74.0335519,3184,Paulus Hook,40.7141454,-74.0335519,24391,Subscriber,1985,1
584,21/09/2015 17:48,21/09/2015 17:58,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24456,Subscriber,1986,2
947,21/09/2015 17:49,21/09/2015 18:05,3184,Paulus Hook,40.7141454,-74.0335519,3211,Newark Ave,40.72152515,-74.04630454,24391,Subscriber,1983,2
234,21/09/2015 17:49,21/09/2015 17:53,3183,Exchange Place,40.7162469,-74.0334588,3214,Essex Light Rail,40.7127742,-74.0364857,24486,Subscriber,1984,1
93,21/09/2015 17:51,21/09/2015 17:53,3184,Paulus Hook,40.7141454,-74.0335519,3183,Exchange Place,40.7162469,-74.0334588,24398,Subscriber,1975,1
600,21/09/2015 17:53,21/09/2015 18:03,3202,Newport PATH,40.7272235,-74.0337589,3209,Brunswick St,40.7241765,-74.0506564,24645,Subscriber,1989,1
219,21/09/2015 17:53,21/09/2015 17:56,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24574,Subscriber,1975,2
303,21/09/2015 17:53,21/09/2015 17:58,3186,Grove St PATH,40.71958612,-74.04311746,3203,Hamilton Park,40.72759597,-74.04424731,24677,Subscriber,1970,1
614,21/09/2015 17:55,21/09/2015 18:06,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24467,Subscriber,1981,1
